SYMBOL	CIC
PDRG1	Myeloid-derived suppressor cell
PECAM1	Myeloid-derived suppressor cell
PIK3R5	Myeloid-derived suppressor cell
PPP1R2P4	Myeloid-derived suppressor cell
PSAP	Myeloid-derived suppressor cell
PTGES2	Myeloid-derived suppressor cell
PTPRE	Myeloid-derived suppressor cell
RNASE1	Myeloid-derived suppressor cell
RP11	Myeloid-derived suppressor cell
S100A8	Myeloid-derived suppressor cell
S100A9	Myeloid-derived suppressor cell
SELPLG	Myeloid-derived suppressor cell
SLA	Myeloid-derived suppressor cell
SLC36A1	Myeloid-derived suppressor cell
SLC44A1	Myeloid-derived suppressor cell
ST8SIA4	Myeloid-derived suppressor cell
STAT3	Myeloid-derived suppressor cell
STAT6	Myeloid-derived suppressor cell
TBXAS1	Myeloid-derived suppressor cell
TFGFB1	Myeloid-derived suppressor cell
TFGFB2	Myeloid-derived suppressor cell
TFGFB3	Myeloid-derived suppressor cell
TFGFB5	Myeloid-derived suppressor cell
TFRC	Myeloid-derived suppressor cell
TGFB2	Myeloid-derived suppressor cell
TPP1	Myeloid-derived suppressor cell
VTCN1	Myeloid-derived suppressor cell
CXCL9	Trafficking & infiltration
CXCL10	Trafficking & infiltration
CCL5	Trafficking & infiltration
CX3CL1	Trafficking & infiltration
LFA1	Trafficking & infiltration
ICAM1	Trafficking & infiltration
SELE	Trafficking & infiltration
HLA-A	Recognition of tumor cells
HLA-B	Recognition of tumor cells
HLA-C	Recognition of tumor cells
B2M	Recognition of tumor cells
TAP1	Recognition of tumor cells
TAP2	Recognition of tumor cells
PD-1	Immune checkpoints
BTLA	Immune checkpoints
TIM-3	Immune checkpoints
LAG3	Immune checkpoints
CTLA4	Immune checkpoints
PD-L1	Immune checkpoints
VISTA	Immune checkpoints
IL10	Other inhibitory molecules
IDO1	Other inhibitory molecules
TGFB1	Other inhibitory molecules
ARG1	Other inhibitory molecules
INOS	Other inhibitory molecules
CTNNB1	Other inhibitory molecules
