Sample_name	Target
TCGA-KK-A8IH-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8II-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8IJ-01A-11R-A352-07	PRAD (TCGA)
TCGA-KK-A8IK-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8IL-01A-11R-A36G-07	PRAD (TCGA)
TCGA-M7-A71Y-01A-22R-A32O-07	PRAD (TCGA)
TCGA-M7-A720-01A-12R-A32O-07	PRAD (TCGA)
TCGA-M7-A721-01A-12R-A32O-07	PRAD (TCGA)
TCGA-M7-A722-01A-12R-A36G-07	PRAD (TCGA)
TCGA-M7-A725-01A-12R-A32O-07	PRAD (TCGA)
TCGA-SU-A7E7-01A-22R-A33R-07	PRAD (TCGA)
TCGA-TK-A8OK-01A-22R-A36G-07	PRAD (TCGA)
TCGA-TP-A8TT-01A-12R-A41O-07	PRAD (TCGA)
TCGA-TP-A8TV-01A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A8MF-01A-11R-A36G-07	PRAD (TCGA)
TCGA-V1-A8MG-01A-11R-A36G-07	PRAD (TCGA)
TCGA-V1-A8MJ-01A-11R-A36G-07	PRAD (TCGA)
TCGA-V1-A8ML-01A-11R-A37L-07	PRAD (TCGA)
TCGA-V1-A8MU-01A-11R-A37L-07	PRAD (TCGA)
TCGA-V1-A8WL-01A-11R-A37L-07	PRAD (TCGA)
TCGA-V1-A8WN-01A-11R-A37L-07	PRAD (TCGA)
TCGA-V1-A8WS-01A-11R-A37L-07	PRAD (TCGA)
TCGA-V1-A8WV-01A-11R-A37L-07	PRAD (TCGA)
TCGA-V1-A8WW-01A-11R-A37L-07	PRAD (TCGA)
TCGA-V1-A8X3-01A-11R-A37L-07	PRAD (TCGA)
TCGA-V1-A9O5-01A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A9O5-06A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A9O7-01A-21R-A41O-07	PRAD (TCGA)
TCGA-V1-A9O9-01A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A9OA-01A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A9OF-01A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A9OH-01A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A9OL-01A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A9OQ-01A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A9OX-01A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A9OY-01A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A9Z7-01A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A9Z8-01A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A9Z9-01A-21R-A41O-07	PRAD (TCGA)
TCGA-V1-A9ZG-01A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A9ZI-01A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A9ZK-01A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A9ZR-01A-11R-A41O-07	PRAD (TCGA)
TCGA-VN-A88I-01A-11R-A352-07	PRAD (TCGA)
TCGA-VN-A88K-01A-11R-A352-07	PRAD (TCGA)
TCGA-VN-A88L-01A-11R-A352-07	PRAD (TCGA)
TCGA-VN-A88N-01A-11R-A36G-07	PRAD (TCGA)
TCGA-VN-A88O-01A-11R-A352-07	PRAD (TCGA)
TCGA-VN-A88P-01A-11R-A352-07	PRAD (TCGA)
TCGA-VN-A88Q-01A-11R-A352-07	PRAD (TCGA)
TCGA-VN-A88R-01A-11R-A36G-07	PRAD (TCGA)
TCGA-VN-A943-01A-11R-A41O-07	PRAD (TCGA)
TCGA-VP-A872-01A-11R-A352-07	PRAD (TCGA)
TCGA-VP-A875-01A-31R-A352-07	PRAD (TCGA)
TCGA-VP-A876-01A-11R-A352-07	PRAD (TCGA)
TCGA-VP-A878-01A-31R-A352-07	PRAD (TCGA)
TCGA-VP-A879-01A-11R-A352-07	PRAD (TCGA)
TCGA-VP-A87B-01A-11R-A352-07	PRAD (TCGA)
TCGA-VP-A87C-01A-11R-A352-07	PRAD (TCGA)
TCGA-VP-A87D-01A-11R-A352-07	PRAD (TCGA)
TCGA-VP-A87E-01A-31R-A352-07	PRAD (TCGA)
TCGA-VP-A87H-01A-11R-A352-07	PRAD (TCGA)
TCGA-VP-A87J-01A-11R-A352-07	PRAD (TCGA)
TCGA-VP-A87K-01A-11R-A352-07	PRAD (TCGA)
TCGA-VP-AA1N-01A-31R-A41O-07	PRAD (TCGA)
TCGA-WW-A8ZI-01A-11R-A37L-07	PRAD (TCGA)
TCGA-X4-A8KS-01A-12R-A36G-07	PRAD (TCGA)
TCGA-XA-A8JR-01A-11R-A36G-07	PRAD (TCGA)
TCGA-XJ-A83G-01A-11R-A352-07	PRAD (TCGA)
TCGA-XJ-A83H-01A-11R-A352-07	PRAD (TCGA)
TCGA-XJ-A9DI-01A-11R-A37L-07	PRAD (TCGA)
TCGA-XJ-A9DK-01A-11R-A37L-07	PRAD (TCGA)
TCGA-XK-AAIR-01A-11R-A41O-07	PRAD (TCGA)
TCGA-XK-AAIV-01A-11R-A41O-07	PRAD (TCGA)
TCGA-XK-AAIW-01A-11R-A41O-07	PRAD (TCGA)
TCGA-XK-AAJA-01A-11R-A41O-07	PRAD (TCGA)
TCGA-XK-AAJP-01A-11R-A41O-07	PRAD (TCGA)
TCGA-XK-AAJR-01A-11R-A41O-07	PRAD (TCGA)
TCGA-XK-AAJT-01A-11R-A41O-07	PRAD (TCGA)
TCGA-XK-AAJU-01A-11R-A41O-07	PRAD (TCGA)
TCGA-XQ-A8TB-01A-11R-A36G-07	PRAD (TCGA)
TCGA-Y6-A8TL-01A-21R-A37L-07	PRAD (TCGA)
TCGA-Y6-A9XI-01A-11R-A41O-07	PRAD (TCGA)
TCGA-YJ-A8SW-01A-11R-A37L-07	PRAD (TCGA)
TCGA-YL-A8HJ-01A-11R-A36G-07	PRAD (TCGA)
TCGA-YL-A8HK-01A-11R-A36G-07	PRAD (TCGA)
TCGA-YL-A8HL-01A-11R-A36G-07	PRAD (TCGA)
TCGA-YL-A8HM-01A-11R-A36G-07	PRAD (TCGA)
TCGA-YL-A8HO-01A-11R-A36G-07	PRAD (TCGA)
TCGA-YL-A8S8-01A-11R-A37L-07	PRAD (TCGA)
TCGA-YL-A8S9-01A-11R-A37L-07	PRAD (TCGA)
TCGA-YL-A8SA-01A-21R-A37L-07	PRAD (TCGA)
TCGA-YL-A8SB-01A-31R-A37L-07	PRAD (TCGA)
TCGA-YL-A8SC-01A-11R-A37L-07	PRAD (TCGA)
TCGA-YL-A8SF-01A-11R-A37L-07	PRAD (TCGA)
TCGA-YL-A8SH-01B-11R-A37L-07	PRAD (TCGA)
TCGA-YL-A8SI-01A-11R-A41O-07	PRAD (TCGA)
