Sample_name	File_name	Target	Replicates
TCGA-DX-A23Z-01A-11R-A27Q-07		SARC (TCGA)	
TCGA-DX-A6YS-01A-12R-A355-07		SARC (TCGA)	
TCGA-DX-A6YT-01A-21R-A355-07		SARC (TCGA)	
TCGA-DX-A6YV-01A-12R-A355-07		SARC (TCGA)	
TCGA-DX-A7EU-01A-22R-A36F-07		SARC (TCGA)	
TCGA-DX-A8BQ-01A-11R-A37L-07		SARC (TCGA)	
TCGA-DX-A8BS-01A-11R-A37L-07		SARC (TCGA)	
TCGA-HS-A5NA-01A-11R-A26T-07		SARC (TCGA)	
TCGA-K1-A3PN-02A-11R-A22K-07		SARC (TCGA)	
TCGA-K1-A42X-02A-11R-A24X-07		SARC (TCGA)	
TCGA-PT-A8TR-01A-11R-A37L-07		SARC (TCGA)	
TCGA-QQ-A8VF-01A-11R-A37L-07		SARC (TCGA)	
TCGA-SI-A71O-06A-11R-A38C-07		SARC (TCGA)	
TCGA-VT-A80J-02A-11R-A41I-07		SARC (TCGA)	
TCGA-WK-A8XZ-01A-11R-A37L-07		SARC (TCGA)	
TCGA-X6-A7WA-01A-12R-A355-07		SARC (TCGA)	
TCGA-X6-A7WB-01A-11R-A355-07		SARC (TCGA)	
TCGA-X6-A8C4-01A-11R-A36F-07		SARC (TCGA)	
TCGA-3B-A9HI-01A-11R-A38C-07		SARC (TCGA)	
TCGA-3B-A9HL-01A-11R-A38C-07		SARC (TCGA)	
TCGA-3B-A9HO-01A-11R-A38C-07		SARC (TCGA)	
TCGA-3B-A9HP-01A-11R-A38C-07		SARC (TCGA)	
TCGA-3B-A9HQ-01A-11R-A38C-07		SARC (TCGA)	
TCGA-3B-A9HR-01A-11R-A38C-07		SARC (TCGA)	
TCGA-3B-A9HS-01A-11R-A39D-07		SARC (TCGA)	
TCGA-3B-A9HT-01A-11R-A39D-07		SARC (TCGA)	
TCGA-3B-A9HU-01A-11R-A39D-07		SARC (TCGA)	
TCGA-3B-A9HV-01A-11R-A39D-07		SARC (TCGA)	
TCGA-3B-A9HX-01A-11R-A39D-07		SARC (TCGA)	
TCGA-3B-A9HY-01A-11R-A39D-07		SARC (TCGA)	
TCGA-3B-A9HZ-01A-11R-A39D-07		SARC (TCGA)	
TCGA-3B-A9I0-01A-11R-A39D-07		SARC (TCGA)	
TCGA-3B-A9I1-01A-11R-A39D-07		SARC (TCGA)	
TCGA-3B-A9I3-01A-11R-A39D-07		SARC (TCGA)	
TCGA-3R-A8YX-01A-11R-A37L-07		SARC (TCGA)	
TCGA-DX-A1KU-01A-32R-A24X-07		SARC (TCGA)	
TCGA-DX-A1KW-01A-22R-A24X-07		SARC (TCGA)	
TCGA-DX-A1KX-01A-22R-A24X-07		SARC (TCGA)	
TCGA-DX-A1KY-01A-11R-A24X-07		SARC (TCGA)	
TCGA-DX-A1KZ-01A-11R-A24X-07		SARC (TCGA)	
TCGA-DX-A1L0-01A-11R-A24X-07		SARC (TCGA)	
TCGA-DX-A1L1-01A-11R-A24X-07		SARC (TCGA)	
TCGA-DX-A1L3-01A-11R-A24X-07		SARC (TCGA)	
TCGA-DX-A1L4-01A-12R-A26T-07		SARC (TCGA)	
TCGA-DX-A23R-01A-11R-A26T-07		SARC (TCGA)	
TCGA-DX-A23T-01A-11R-A26T-07		SARC (TCGA)	
TCGA-DX-A23V-01A-11R-A29R-07		SARC (TCGA)	
TCGA-DX-A23Y-01A-11R-A27Q-07		SARC (TCGA)	
TCGA-DX-A240-01A-32R-A27Q-07		SARC (TCGA)	
TCGA-DX-A2IZ-01A-11R-A21T-07		SARC (TCGA)	
TCGA-DX-A2J0-01A-11R-A21T-07		SARC (TCGA)	
TCGA-DX-A2J1-01A-11R-A21T-07		SARC (TCGA)	
TCGA-DX-A2J4-01A-32R-A21T-07		SARC (TCGA)	
TCGA-DX-A3LS-01A-11R-A21T-07		SARC (TCGA)	
TCGA-DX-A3LT-01A-12R-A21T-07		SARC (TCGA)	
TCGA-DX-A3LU-01A-11R-A21T-07		SARC (TCGA)	
TCGA-DX-A3LW-01A-21R-A21T-07		SARC (TCGA)	
TCGA-DX-A3LY-01B-11R-A27Q-07		SARC (TCGA)	
TCGA-DX-A3M1-01A-11R-A22K-07		SARC (TCGA)	
TCGA-DX-A3M2-01A-21R-A22K-07		SARC (TCGA)	
TCGA-DX-A3U5-01A-11R-A22K-07		SARC (TCGA)	
TCGA-DX-A3U6-01A-11R-A29R-07		SARC (TCGA)	
TCGA-DX-A3U7-01A-11R-A29R-07		SARC (TCGA)	
TCGA-DX-A3U8-01A-11R-A29R-07		SARC (TCGA)	
TCGA-DX-A3U9-01A-11R-A30C-07		SARC (TCGA)	
TCGA-DX-A3UA-01A-12R-A30C-07		SARC (TCGA)	
TCGA-DX-A3UB-01A-11R-A30C-07		SARC (TCGA)	
TCGA-DX-A3UC-01A-11R-A30C-07		SARC (TCGA)	
TCGA-DX-A3UD-01A-11R-A30C-07		SARC (TCGA)	
TCGA-DX-A3UE-01A-11R-A30C-07		SARC (TCGA)	
TCGA-DX-A3UF-01A-11R-A30C-07		SARC (TCGA)	
TCGA-DX-A48J-01A-21R-A30C-07		SARC (TCGA)	
TCGA-DX-A48K-01A-11R-A30C-07		SARC (TCGA)	
TCGA-DX-A48L-01A-11R-A30C-07		SARC (TCGA)	
TCGA-DX-A48N-01A-11R-A30C-07		SARC (TCGA)	
TCGA-DX-A48O-01A-11R-A30C-07		SARC (TCGA)	
TCGA-DX-A48P-01A-11R-A30C-07		SARC (TCGA)	
TCGA-DX-A48R-01A-11R-A30C-07		SARC (TCGA)	
TCGA-DX-A48U-01A-11R-A30C-07		SARC (TCGA)	
TCGA-DX-A6B7-01A-11R-A30C-07		SARC (TCGA)	
