Sample_name	Target
TCGA-A8-A07S-01A-11R-A034-07	BRCA (TCGA)
TCGA-A8-A07U-01A-11R-A034-07	BRCA (TCGA)
TCGA-A8-A07W-01A-11R-A00Z-07	BRCA (TCGA)
TCGA-A8-A081-01A-11R-A00Z-07	BRCA (TCGA)
TCGA-A8-A082-01A-11R-A00Z-07	BRCA (TCGA)
TCGA-A8-A083-01A-21R-A00Z-07	BRCA (TCGA)
TCGA-A8-A085-01A-11R-A00Z-07	BRCA (TCGA)
TCGA-A8-A086-01A-11R-A00Z-07	BRCA (TCGA)
TCGA-A8-A08B-01A-11R-A00Z-07	BRCA (TCGA)
TCGA-A8-A08C-01A-11R-A00Z-07	BRCA (TCGA)
TCGA-A8-A08G-01A-11R-A00Z-07	BRCA (TCGA)
TCGA-A8-A08H-01A-21R-A00Z-07	BRCA (TCGA)
TCGA-A8-A08I-01A-11R-A00Z-07	BRCA (TCGA)
TCGA-A8-A08J-01A-11R-A00Z-07	BRCA (TCGA)
TCGA-A8-A08L-01A-11R-A00Z-07	BRCA (TCGA)
TCGA-A8-A08O-01A-21R-A056-07	BRCA (TCGA)
TCGA-A8-A08P-01A-11R-A00Z-07	BRCA (TCGA)
TCGA-A8-A08R-01A-11R-A034-07	BRCA (TCGA)
TCGA-A8-A08T-01A-21R-A00Z-07	BRCA (TCGA)
TCGA-A8-A08X-01A-21R-A00Z-07	BRCA (TCGA)
TCGA-A8-A0A7-01A-11R-A00Z-07	BRCA (TCGA)
TCGA-A8-A0A9-01A-11R-A00Z-07	BRCA (TCGA)
TCGA-A8-A0AD-01A-11R-A056-07	BRCA (TCGA)
TCGA-AC-A23C-01A-12R-A169-07	BRCA (TCGA)
TCGA-AC-A23E-01A-11R-A157-07	BRCA (TCGA)
TCGA-AC-A23G-01A-11R-A213-07	BRCA (TCGA)
TCGA-AC-A23H-01A-11R-A157-07	BRCA (TCGA)
TCGA-AC-A2B8-01A-11R-A17B-07	BRCA (TCGA)
TCGA-AC-A2BK-01A-11R-A21T-07	BRCA (TCGA)
TCGA-AC-A2BM-01A-11R-A21T-07	BRCA (TCGA)
TCGA-AC-A2FB-01A-11R-A17B-07	BRCA (TCGA)
TCGA-AC-A2FE-01A-11R-A19W-07	BRCA (TCGA)
TCGA-AC-A2FF-01A-11R-A17B-07	BRCA (TCGA)
TCGA-AC-A2FG-01A-11R-A17B-07	BRCA (TCGA)
TCGA-AC-A2FK-01A-12R-A180-07	BRCA (TCGA)
TCGA-AC-A2FM-01A-11R-A19W-07	BRCA (TCGA)
TCGA-AC-A2FO-01A-11R-A180-07	BRCA (TCGA)
TCGA-AC-A2QH-01A-11R-A18M-07	BRCA (TCGA)
TCGA-AC-A2QI-01A-12R-A19W-07	BRCA (TCGA)
TCGA-AC-A2QJ-01A-12R-A19W-07	BRCA (TCGA)
TCGA-AC-A3BB-01A-21R-A19W-07	BRCA (TCGA)
TCGA-AC-A3EH-01A-22R-A22K-07	BRCA (TCGA)
TCGA-AC-A3HN-01A-11R-A213-07	BRCA (TCGA)
TCGA-AC-A3OD-01A-11R-A21T-07	BRCA (TCGA)
TCGA-AC-A3QP-01A-11R-A22U-07	BRCA (TCGA)
TCGA-AC-A3QQ-01A-11R-A22K-07	BRCA (TCGA)
TCGA-AC-A3TM-01A-11R-A22K-07	BRCA (TCGA)
TCGA-AC-A3TN-01A-11R-A22K-07	BRCA (TCGA)
TCGA-AC-A3W5-01A-11R-A22K-07	BRCA (TCGA)
TCGA-AC-A3W6-01A-12R-A22K-07	BRCA (TCGA)
TCGA-AO-A1KQ-01A-11R-A13Q-07	BRCA (TCGA)
TCGA-AO-A1KR-01A-12R-A144-07	BRCA (TCGA)
TCGA-AO-A1KS-01A-11R-A13Q-07	BRCA (TCGA)
TCGA-AO-A1KT-01A-11R-A13Q-07	BRCA (TCGA)
TCGA-AQ-A04H-01B-11R-A10J-07	BRCA (TCGA)
TCGA-AQ-A04J-01A-02R-A034-07	BRCA (TCGA)
TCGA-AR-A0U2-01A-11R-A109-07	BRCA (TCGA)
TCGA-AR-A0U3-01A-11R-A109-07	BRCA (TCGA)
TCGA-AR-A1AH-01A-11R-A12D-07	BRCA (TCGA)
TCGA-AR-A1AI-01A-11R-A12P-07	BRCA (TCGA)
TCGA-AR-A1AJ-01A-21R-A12P-07	BRCA (TCGA)
TCGA-AR-A1AK-01A-21R-A12P-07	BRCA (TCGA)
TCGA-AR-A1AL-01A-21R-A12P-07	BRCA (TCGA)
TCGA-AR-A1AM-01A-41R-A22K-07	BRCA (TCGA)
TCGA-AR-A1AN-01A-11R-A12P-07	BRCA (TCGA)
TCGA-AR-A1AO-01A-11R-A12P-07	BRCA (TCGA)
TCGA-AR-A1AP-01A-11R-A12P-07	BRCA (TCGA)
TCGA-AR-A1AQ-01A-11R-A12P-07	BRCA (TCGA)
TCGA-AR-A1AR-01A-31R-A137-07	BRCA (TCGA)
TCGA-AR-A1AS-01A-11R-A12P-07	BRCA (TCGA)
TCGA-AR-A1AT-01A-11R-A12P-07	BRCA (TCGA)
TCGA-AR-A1AU-01A-11R-A12P-07	BRCA (TCGA)
TCGA-AR-A1AV-01A-21R-A12P-07	BRCA (TCGA)
TCGA-AR-A1AW-01A-21R-A12P-07	BRCA (TCGA)
TCGA-AR-A1AX-01A-11R-A12P-07	BRCA (TCGA)
TCGA-AR-A1AY-01A-21R-A12P-07	BRCA (TCGA)
TCGA-B6-A0WY-01A-11R-A109-07	BRCA (TCGA)
TCGA-B6-A0WZ-01A-11R-A109-07	BRCA (TCGA)
TCGA-B6-A0X0-01A-21R-A115-07	BRCA (TCGA)
TCGA-B6-A0X1-01A-11R-A109-07	BRCA (TCGA)
TCGA-B6-A0X4-01A-11R-A109-07	BRCA (TCGA)
TCGA-B6-A0X5-01A-21R-A109-07	BRCA (TCGA)
TCGA-B6-A0X7-01A-11R-A10J-07	BRCA (TCGA)
TCGA-B6-A1KC-01B-11R-A157-07	BRCA (TCGA)
