Sample_name	File_name	Target	Replicates
TCGA-GU-A767-01A-11R-A32O-07		BLCA (TCGA)	
TCGA-DK-A2I1-01A-11R-A180-07		BLCA (TCGA)	
TCGA-DK-A1AF-01A-11R-A13Y-07		BLCA (TCGA)	
TCGA-GC-A3I6-01A-11R-A20F-07		BLCA (TCGA)	
TCGA-BL-A13I-01B-04R-A277-07		BLCA (TCGA)	
TCGA-XF-AAMZ-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-UY-A8OC-01A-11R-A36F-07		BLCA (TCGA)	
TCGA-CU-A3QU-01A-11R-A22U-07		BLCA (TCGA)	
TCGA-CF-A8HY-01A-11R-A36F-07		BLCA (TCGA)	
TCGA-CF-A9FL-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-UY-A78M-01A-21R-A352-07		BLCA (TCGA)	
TCGA-ZF-AA53-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-XF-A9SL-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-GU-A42P-01A-11R-A23W-07		BLCA (TCGA)	
TCGA-UY-A78L-01A-12R-A33J-07		BLCA (TCGA)	
TCGA-4Z-AA7S-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-BT-A0S7-01A-11R-A10U-07		BLCA (TCGA)	
TCGA-K4-A3WV-01A-11R-A22U-07		BLCA (TCGA)	
TCGA-E7-A7DV-01A-11R-A33J-07		BLCA (TCGA)	
TCGA-XF-AAN4-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-C4-A0F0-01A-12R-A10U-07		BLCA (TCGA)	
TCGA-DK-A1AA-01A-11R-A13Y-07		BLCA (TCGA)	
TCGA-XF-A9SP-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-C4-A0F6-01A-11R-A10U-07		BLCA (TCGA)	
TCGA-G2-A3IB-01A-11R-A20F-07		BLCA (TCGA)	
TCGA-DK-A1AE-01A-11R-A13Y-07		BLCA (TCGA)	
TCGA-XF-A9T2-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-BT-A3PH-01A-11R-A220-07		BLCA (TCGA)	
TCGA-E7-A4IJ-01A-31R-A26T-07		BLCA (TCGA)	
TCGA-DK-A3IS-01A-21R-A21D-07		BLCA (TCGA)	
TCGA-XF-A9SH-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-2F-A9KR-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-XF-A9SM-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-ZF-A9RF-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-UY-A78K-01A-11R-A33J-07		BLCA (TCGA)	
TCGA-G2-AA3D-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-ZF-AA4N-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-CU-A0YR-11A-13R-A10U-07		BLCA (TCGA)	
TCGA-XF-AAN0-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-XF-AAN1-01A-31R-A42T-07		BLCA (TCGA)	
TCGA-XF-A8HB-01A-11R-A36F-07		BLCA (TCGA)	
TCGA-CU-A0YO-01A-11R-A10U-07		BLCA (TCGA)	
TCGA-UY-A78N-01A-12R-A33J-07		BLCA (TCGA)	
TCGA-XF-AAN3-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-GD-A2C5-11A-11R-A180-07		BLCA (TCGA)	
TCGA-CF-A3MG-01A-11R-A20F-07		BLCA (TCGA)	
TCGA-2F-A9KW-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-E7-A5KF-01A-11R-A28M-07		BLCA (TCGA)	
TCGA-GC-A3OO-01A-11R-A22U-07		BLCA (TCGA)	
TCGA-CU-A72E-01A-12R-A33J-07		BLCA (TCGA)	
TCGA-HQ-A5ND-01A-11R-A26T-07		BLCA (TCGA)	
TCGA-GD-A76B-01A-11R-A32O-07		BLCA (TCGA)	
TCGA-4Z-AA7Q-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-DK-A1A5-01A-11R-A13Y-07		BLCA (TCGA)	
TCGA-FJ-A3ZF-01A-11R-A23N-07		BLCA (TCGA)	
TCGA-XF-A9T5-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-H4-A2HO-01A-11R-A180-07		BLCA (TCGA)	
TCGA-UY-A78P-01A-12R-A36F-07		BLCA (TCGA)	
TCGA-E7-A8O8-01A-11R-A36F-07		BLCA (TCGA)	
TCGA-G2-A2EC-01A-11R-A180-07		BLCA (TCGA)	
TCGA-ZF-AA4U-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-G2-A2ES-01A-11R-A180-07		BLCA (TCGA)	
TCGA-XF-A8HD-01A-11R-A36F-07		BLCA (TCGA)	
TCGA-XF-AAMR-01A-31R-A42T-07		BLCA (TCGA)	
TCGA-PQ-A6FI-01A-11R-A31N-07		BLCA (TCGA)	
TCGA-XF-A8HI-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-CU-A0YN-11A-11R-A10U-07		BLCA (TCGA)	
TCGA-CF-A9FM-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-XF-A9T0-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-K4-A83P-01A-11R-A352-07		BLCA (TCGA)	
TCGA-XF-AAMG-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-4Z-AA80-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-CF-A5UA-01A-11R-A28M-07		BLCA (TCGA)	
